"English","Danish","Dutch","Finnish","French","German","Indonesian","Italian","Japanese","Latin","Norwegian","Portugese","Spanish","Swahili","Swedish"
"thigh","lår","bovenbeen, dij","reisi","cuisse, gigots","Schenkels, Schenkel, Schenkel","-","femorale, fèmore","mata, mata, momo, joutai","bracchium","lår","coxa","muslo","-","lårben"
"thing","ting","ding, voorwerp","esine","truc, objet, zinzin","Ding, Sache, Ding","benda","materia","kotogara, shiromono, mono, juu, shina, koto","-","ting","objecto, cousa, coisa","objecto, objeto, cosa","kitu","ting, persedel, sak, tingest"
"think","synes om, tænke","geloven, van mening zijn, achten","arvella, ajatella","méditation, pensons, pensez, pensent, penser","denken, denken, denken/glaube, glauben, meinen","fikir, berpikir","pensare, riflettere, crédere, supporre","-","cogitare","tenke","pense, pensar","razonar, pensar, acordarse","-","tro, tänka, anse , mena, tycka"
"third","tredje","derde","kolmas","tierce, troisième, tiers","dritter, dritte, dritte, Dritte, Drittel","-","terza, terzo, terzo","sanban, sa-do","tertius","tredje","terceiro","tercero, tercio","a tatu","tredje"
"thirteen","tretten","dertien","kolmastoista","treize","dreizehn","-","tredici","juusan","tredecim","tretten","treze","trece","kumi na -tatu, kumi na tatu","tretton"
"thirty","tredive","dertig","kolmekymmentä","trente","dreißig","-","trenta","sa-ti-","triginta","tredve","trinta","treinta","thelathini","trettio"
"thorn","torn","doorn","piikki","épine, broche","Dorns, Dorn, Dorn","duri","spina","toge, ibara, kei, ira, ibara","spina","-","espinho","espina","mwiba","tagg, törne"
"thousand","tusinde","duizend","tuhat","-","tausend","-","mille","chi, ikusen","mille","tusen","mil","mil","elfu","tusen"
"thread","tråd","draad, garen","lanka","enfiler, fil retors, enfilons, enfilent, enfilez","Faden, Gewinde, Zwirn, Faden","benang","filamento","asaito, sureddo, sujimichi, ito","acia","tråd","linha","hilo, hebra, hilvanar","-","tråd"
"three","tre","drie","kolme","trois","drei","tiga","tre","san, mittsu, mi","tres","tre","três","tres","tatu, tatu","tre"
"through","igennem, færdig","door, per, met","valmis, läpi","prêt, pour cette raison, à travers","hindurch, durch..., räumlich, durch","siap, melalui","per mezzo di ciò","tsuujite, kara, suru-, chokkou","-","-","pronto, através","a través de ello, listo","tayari","genom, igenom"
"throw","kaste","keilen, werpen, uitspelen, gooien","heittää","jetent, jetez, jetons, mise bas","Hebel umlegen, Wurf, Wurf, werfen, werfen, Hub","lempar ... melempar","tiro, alzata, gettare","suro-, tounyuu","-","kaste","lançar, atirar","tirada, echadar","-","slänga, slunga, kasta, kast"
"Thursday","torsdag","donderdag","torstai","jeudi","Donnerstag","Kamis","giovedí","mokuyoubi, mokuyou","-","torsdag","Quinta-feira","jueves","Alhamisi","torsdag"
"ticket","billet","biljet, plaatsbewijs, kaartje","lippu","billet, ticket, houp","Fahrschein, Fahrkarte, Eintrittskarte","karcis","sorte, biglietto, biglietto","chiketto, kippu, hyou, kippuuriba, ken","-","billett","passagem, bilhete","billete, boleto","-","biljett"
"tie","slips, binde, bånd","stropdas, das","sitoa","cravate, accolage, amarrer, liaison","verbinden, Krawate, Krawatte, Band","ikat, mengikat, dasi","legamento, legare, legare saldamente, cravatta","tai, wake, nekutai, gobu, azukari, douten","-","slips","ligar, gravata, laço","corbata, atar, aocrrar, liar","-","binda, slips, knyte"
"timber","træ","hout","puu","-","Balken, Bauholz","kayu","legno, legname da costruzione","mokuzai, ki, zaimoku","lignum","ved","madeira","leño, madera","mti","timmer, virke"
"time","tid, time, gang","maal, keer","aika, kerta, tunti","fois, heure, temps, cadence, durée","zeitlich, Zeit, Zeit","jam","tempo, epoca, cronologico, marchio, lezione, tatto","jikoku, kokugen, hitotoki, ma, toki, taimu, kouin","tempus, hora","tid, time","tempo","vez, duración, hora, temporal, tiempo, epoca","wakati, mara, saa, nafasi","tidpunkt, tid, stund, takt, gång, tempo"
"tin","tin, blik","blikken","pelti","fer-blanc, tôle, etain, boîte à conserves, étain","Konservenbüchse, Zinnblechbüchse, Dose, Dose","-","latta, apriscàtole, barattolo","suzu, kan","stannum","blikk","estanho, lata","estaño, lata, bujeta, bote, hojalata","-","bleckburk, tenn, burk"
"to","til","tegen, bij, naar, tot, aan, voor","varten","à, avant de, en, pour, vers","zu, zu","-","a tavola, in","dzuki, tame","ad","-","a, para","a, para, ante","ili","att, åt, till, rämna, att"
"tobacco","-","tabak","tupakka","tabac, perlot","Tabak","tembakau","tabacco","tabako","-","tobakk","tabaco","tabaco","tumbako","tobak"
"today","i dag","heden, vandaag","tänään","aujourd'hui","heute","-","oggi","honjitsu, imadoki, konnichi, kyou","hodie","i dag","hoje","hoy","leo","-"
"tongue","tunge, sprog","tong","kieli","langage, langue, parole","Zunge, Sprache","lidah, bahasa","idioma, lingua","shita, tan, kouzetsu","lingua","språk, tunge","lingua, linguagem, língua, lingüeta","lengua","lugha, ulimi","tunga"
"too","for, også","evenzeer, mede, eveneens, ook","myös, liiaksi","trop, outre, aussi","überdies, zu/auch, auch, zu, allzu","-","anche, a tavola, troppo, oltremodo","nimo, amarini","-","også","tambén, demasiado","demasiado, también, tambien","mno, pia","tillika, också, alltför, även"
"tooth","tand","tand","hammas","dent, dentaire","Zahn, verzahne, Zahn","-","dente","ha","dens","tann, tann","dente","diente, dental","jino","tand"
"town","by","stad, stadje, plaats","kaupunki","urbain, citadin, ville, cité","Stadt","-","città","toshi, machi, taun, anbu, gaiku, shigai, machi","oppidum, urbs","by","vila, cidade","ciudad","mji","stad"
"train","tog","gevolg","juna, koulia","escort, chemin de fer, dresser, cortège, dressage","Zug, Eisenbahn","kereta-api","ammaestrare, educare, allenamento, ferroviario","tore-n","-","tog","comboio, trem","adiestrar, ferrocarril, entrenar, tren","-","exercera, släp, inöva, öva, träng, träna, tåg"
"travel","rejse, fare","gaan, rijden, varen, karren","matkustaa, ajaa","voyagez, voyagent, voyageons, voyager","reisen, Reise","bepergian","andara","ryokou, tabi, toraveru, toraberu","-","kjøre, reise","curso","viajar","-","resa, fara"
"tree","træ","boom","puu","arbre","Baum","pohon","albero, àlbero","ki","arbor","tre","árvore","arbol, árbol, árbol","mti","träd"
"trip","rejse","tocht, toer, reis, trip","matka","voyage, broncher, trajet","Abstecher, Trip {m}, Reise","perjalanan","escursione, tratto, incespicare","ensoku, torippu, ryokou, tabi","-","reise","desengate","excursion, topetar, viaje","mwendo, safari","tur, utflykt, tripp, trippa, snava, färd"
"trouble","problem, forstyrre","bezwaar, strubbeling, moeilijkheid","vaivata","génons, préoccupation, problème, génez, géner","Mühe, beunruhigen, Problem, Schwierigkeit","-","fastidio, disturbo, fatica, penuria, problema","yuuku, kodawari, fuwa, yakkaigoto, rou, toraburu","problema","vanskelighet","problema","prueba, conturbar, problema, estrechez, esfuerzo","-","oroa, bråk, möda, omak, genera, besvär, krångla"
"trousers","bukser","pantalon, broek, lange broek","housut","pantalon","Hose, lange Hose, Hosen","celana","pantaloni","zubon","bracæ","benklær, bukser","calças","pantalón, calzon","-","långbyxor, byxor"
"true","ægte, sand","juist, gelijk hebbend, gegrond","tosi","vrai","richtig, zutreffend, wahr, echt, wahr","-","vero","shinsei, shinko, junsui","verus","sann","verdadeiro","verdadero, castizo","-","trogen, sann, äkta, rätt"
"trunk","stamme, kuffert","boomstam, stam","matkalaukku","torse, souche, fuselage, tronc, malle","Amt {n}, Rumpf, Koffer, Koffer, Baumstamm","-","tronco, torso","toranku, dou, doutai","proboscis","kuffert","tronco, baú","maleta, casco, baúl, tronco","-","snabel, stadga, koffert"
"truth","sandhed","waarheid, waarachtigheid","totuus","verité","Wahrheit","-","verità","shin, shinsou, shinri, shinjitsu, shin, shinjitsu","veritas","sannhet, sannhet","verdade","veras, verdad","-","sanning"
"try","forsøge, prøve","streven, zich inspannen, pogen","koettaa","peiner, essayent, essayer, essayez, essayons","prüfen, Versuch, versuche, versuchen, versuchen","coba ... mencoba","esperimentare, provare","torai, goran","-","forsøke","provar, tentativa","intentar, catar, catar","-","försöka, rannsaka, pröva"
"Tuesday","tirsdag","dinsdag","tiistai","mardi","Dienstag","Selasa","martedì, martedí","kayoubi","-","tirsdag","Terça-feira","martes","Jumanne","tisdag"
"turn","vending, forandre, vende, veksle","anders maken, veranderen","kääntää, kumota, muuttaa, poiketa, rivi, sorvata","dévier, torsion, changer, se tordre, tournons","drehen, rotieren, drehen","baris, mengubah","fila, girata, voltarsi, girare","magarime, ta-n, rinban, jun","vertere, aberrare, vicis","kantre","fila, volta","girar, combiar, torcer, vuelta, ringla, turno","-","svarva, övergå, varv, vrida, vända, tur, vändning"
"twelve","tolv","twaalf","kaksitoista","douze","zwölf","-","dodici","juuni","duodecim","tolv","doze","doce","kumi na mbili, thenashara, kumi na -wili","-"
"twenty","tyve","twintig","kaksikymmentä","vingt","zwanzig","-","venti","nijuu","viginti","tyve, tjue","vinte","veinte","ishirini","tjugo"
"two","to","twee","kaksi","deux","zwei","dua","due","ni, futatsu","duo","to","duas, dois","dos","mbili, wili, pili","två"
"umbrella","paraply","paraplu","-","parapluie, pébroc","Rekenschirm, Regenschirm, Schirm, Regenschirm","payung","parapioggia, ombrello","koumorigasa, kasa, amagasa","-","paraply","guarda-chuva","paraguas","mwavuli","paraply"
"uncle","onkel","oom","setä","oncle","Onkel","-","zio","hakufu, shukufu, haku, otooji","patruus, avunculus","onkel","tio","tio, tío","baba mdogo, mjomba","morbror, onkel, farbror"
"under","under","beneden","alla","là dessous, sous, en privé","unter, unten, hinunter, darunter","-","là sotto, sotto, abbasso","shita, anda-, dzuki, ika, nitsuite","sub, subter","under","sob","so, debajo de","chini ya","under"
"upstairs","oven","boven","ylhäällä","dessus, sur","nach oben, oben gelegen, herauf, Emporkömmlinge","-","in alto, sù","nikai","-","oppe, ovenpå","acima","arriba","juu","uppe"
"us","os, vi","aan ons, ons","me","nous","uns","kami","noi, a noi","touhou, watashitachi, watashidomo, warera","-","-","nós","nosotras, nos, nosotros","sisi","oss"
"use","tilbringe, afbenyttelse, bruge, brug, benyttelse","aanwending, toepassing","käyttää","employer, usage, utiliser","Benutzung, anwenden, benutzen, Gebrauch","menggunakan, guna, gunakan","uso, adoperare","tsukairyou, saiyou, yaku, shiyouhou, shiyouken","usio","-","usar, uso, empregar","uso, usar, utilizacion, utilizar","-","trafikera, användning, bruka, bruk, begagna, nytta"
"valley","dal","vallei, dal","laakso","vallée, val","Tal","lembah","valle","ya, tanima, sawa, keikoku, tani","vallis","dal","vale","val, valle","-","dalgång, dal"
"valuable","kær, værdifuld, dyr","kostbaar, waardevol","kallis","cher, précieux","wertvoll","mahal","pregiato","tattoi, son, kachitakai, toutoi, toutoi, kachiaru","carus","kostbar","caro, valioso","caro","ghali","värdefull"
"vegetable","grønsager","groente","vihannes","légume","Gemüse","-","pianta","bejitaburu, yasai","olus","grønsak","legume, vegetal","verduras","mboga","vegetabilisk"
"very","meget, særlig","erg, heel, bijster, bijzonder","sangen","très, tout","sehr","-","-","meppou, yohodo, hijouni, hanahada, yoppodo, souiu","admodum, apprime","meget","muito","muy","mno, sana","ganska, mycket"
"vessel","skib, beholder","pot, foedraal, bak, doos, etui, koker","astia, laiva, säiliö","navire, récipient, vasculaire","Gefäß","-","recipiente, vascello","utsuwa, youki, fune","abies, navis","-","embarcação, navio","buque, estuche, vasija, embarcación","chombo","fartyg, kärl, skuta"
"view","syn, betragte, se på, udsigt","uitzicht","katsella","gré, vue, panorama","Betrachtung {f}, Hinblick {m}, sehen, Anblick {m}","-","parere, concezione, vista, veduta, visuale","shoken, choubou, tenbou, byu-, iken, meate, enka","spectare","utsikt","vista","concepto, opinion","-","syn, vy, utsikt, sikte"
"village","landsby","plaats, dorp","kylä","village","Dorf","kampung","villaggio","sato, shuuraku, mura, birejji","-","bygd, landsby","aldeia, vila","aldea","kijiji, mji","by"
"visit","besøge, besøgn, visit","bezoeken, afgaan, opzoeken","käydä vieraissa","visitons, visiter, visitez, visite, visitent","Besuch, besichtigen, besuchen, besuchen","mengunjungi, kunjungan, kunjungi","ispezionare, visitare, visita, vìsita","raiyuu, rairin, rinjou, houmon, torai, sankan","-","visitt, besøke","visita","rese ar, visita, visitar","-","hälsa på, visit, besök"
"void","tom","loos, ledig, leeg, lens, hol","tyhjä","vide, vacuum","ungültig, Fehlerstelle","leher, kosong","vuotaggine","garandou, munashii","vacuus, inanis","tom","vácuo","caducado, vaciedad, vacío","tupu","tom, ogiltig"
"voyage","rejse","reis, tocht, toer, trip","matka","voyage","Seereise, Reise","perjalanan","-","tokou, koukai","-","reise","viagem","viaje","mwendo, safari","resa (på sjön)"
"wage","gage, løn","gage, salaris, bezoldiging, loon","palkka","appointements, salaire","Lohn","gaji, salaris","stipendio","kyuu","æs","-","salário","salario, sueldo, jornal","mshahara","-"
"wages","gage, løn","gage, loon, bezoldiging, salaris","palkka","salaire","Lohn, Löhne","gaji, salaris","stipendio","rouchin, chingin, kouchin, kyuuryou, rougin","æs","-","salários","salario","mshahara","lön, arbetslön"
"waiter","tjener","kelner","tarjoilija","garçon, serveur, supérieure","Kellner, Ober, Ober","pelayan restoran","cameriere","uxe-ta-, ue-ta-, kyuuji","-","kelner","criado, empregado de mesa, garçon","camarero","-","kypare, uppassare, vaktmästare, servitör"
"walk","gå, marchere, spadseretur","marcheren, tippelen, lopen","marssia","promenade, marchons, proménez, proménons, marchez","gehen, spazierengehen, gehen, Spaziergang","-","camminare, corro, giro","hokou, sanpo, shouyou","ambulare","spasertur","caminhada","paseo, caminar, andar, caminar","-","gå, vandra, promenad, gång, promenera, vandring"
"wall","mur, væg","muur, wand","seinä, muuri","paroi, murale, cloison, mur","Mauer, Wand","dinding","parete, muro","hei, kabe","paries, murus","vegg","parede, muro","pared, muro","ukuta","mur, vägg"
"war","krig","oorlog, krijg","sota","guerre","Krieg","-","guerra, guerre","kousen, sensou, gunryo, ikusa, senka, henran, eki","bellum","krig","guerra","guerra","-","krig"
"watch","ur","horloge, polshorloge","kello","horloge, montre, bracelet montre","aufpassen, beobachten, sehe/siehst, bewachen, Uhr","arloji-tangan","orologio, sorvegliare","tokei, uxocchi","-","armbåndsur","relógio","prestar atencion, reloj, reloh, guardar","saa","valla, ur, vaka, vakt, klocka (fickur), fickur"
"water","vand","water","vesi","arrosez, coulage, arrosons, arroser, eau, flotte","Wasser","air","diluviare, annaffiare, acqua, bagnare","mizu, gogyou","aqua","vann","água","acuatico, agua, fundir","maji","vatten, bevattna, vattna"
"waterfall","vandfald","waterval","-","cascade","Wasserfall","air-terjun","cascata","bakufu, uxo-ta-fo-ru, taki, uxo-tafo-ru","cataracta, catadupa","foss","cascata, cachoeira","cascada","-","vattenfall"
"way","vej, sædvane, maner","gebruik, usance, gewoonte","tie, tapa","chemin, acheminement, manière, manière","Weg {m}, Art und Weise {f}, Weg","kebiasaan, cara, adat","cammino, strada, strada, direzione","houto, shikata, fuu, you, houkou, shikata, shudan","via, consuetudo, mos","bruk, vei","estrada, modo, maneira","manera, camino, direccion, costumbre, camino","njia, barbara, desturi","sträcka, sätt, kosa, väg"
"wealthy","rig","rijk, vermogend, gefortuneerd","rikas","riche","reich, reich, wohlhabend, vermögend","-","ricco, benestante, facoltoso","yutaka","-","rik","rico","adinerado, pudiente, acaudalado","tajiri","förmögen, rik"
"wear","bære","voeren, dragen, brengen, voorhebben","kantaa","porter","abnutzen, aufhaben, Abnützung, abtragen, tragen","angkat ... mengangkat","abbigliare","mamou, uxea, uea, hai, shou","vehere, portare","bære","desgaste, calçar","sostener","-","nötning, bära, nöta"
"wednesday","onsdag","woensdag","keskiviikko","mercredi","Mittwoch","Rabu","mercoledì","suiyoubi, suiyou","-","onsdag","Quarta-feira","miercoles","Jumatano","onsdag"
